id,board,black_score,best_move
33,rnb1kbnr/pp2pppp/2p5/q7/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 1 5,-69.0,c8f5
34,rnb1kb1r/pp2pppp/2p2n2/q7/3P4/2N2N2/PPPB1PPP/R2QKB1R b KQkq - 3 6,-50.0,c8f5
35,rnb1kb1r/ppq1pppp/2p2n2/8/2BP4/2N2N2/PPPB1PPP/R2QK2R b KQkq - 5 7,-96.0,b7b5
36,rn2kb1r/ppq1pppp/2p2n2/8/2BP2b1/2N2N2/PPPB1PPP/R2Q1RK1 b kq - 7 8,-21.0,e7e6
37,rn2kb1r/ppq2ppp/2p1pn2/8/2BP2b1/2N2N1P/PPPB1PP1/R2Q1RK1 b kq - 0 9,-12.0,g4h5
38,rn2kb1r/ppq2ppp/2p1pn2/7b/2BP4/2N2N1P/PPPBQPP1/R4RK1 b kq - 2 10,-15.0,b8d7
39,rn2k2r/ppq1bppp/2p1pn2/7b/2BP2P1/2N2N1P/PPPBQP2/R4RK1 b kq - 0 11,-61.0,h5g6
40,rn2k2r/ppq1bppp/2p1pnb1/4N3/2BP2P1/2N4P/PPPBQP2/R4RK1 b kq - 2 12,-69.0,b8d7
41,r3k2r/ppqnbppp/2p1pnb1/4N3/2BP1BP1/2N4P/PPP1QP2/R4RK1 b kq - 4 13,-6.0,c7b6
42,r3k2r/ppq1bppp/2p1pnb1/4B3/2BP2P1/2N4P/PPP1QP2/R4RK1 b kq - 0 14,-17.0,c7b6
43,r3k2r/pp2bppp/1qp1pnb1/4B3/3P2P1/1BN4P/PPP1QP2/R4RK1 b kq - 2 15,36.0,h7h5
44,3rk2r/pp2bppp/1qp1pnb1/4B3/P2P2P1/1BN4P/1PP1QP2/R4RK1 b k - 0 16,-76.0,a7a5
45,4k2r/pp2bppp/1qp1pnb1/P3B3/3r2P1/1BN4P/1PP1QP2/R4RK1 b k - 0 17,-72.0,b6c5
46,4k2r/pp2bppp/2p1pnb1/P1q5/3B2P1/1BN4P/1PP1QP2/R4RK1 b k - 0 18,-69.0,c5d4
47,4k2r/pp2bppp/2p1pnb1/P7/R2q2P1/1BN4P/1PP1QP2/5RK1 b k - 1 19,-57.0,d4c5
48,4k2r/pp2bppp/2p1pnb1/P1q5/R5P1/1BN4P/1PP1QP2/3R2K1 b k - 3 20,16.0,h7h5
49,4k2r/pp2bpp1/2p1pnb1/P1q4p/R1Q3P1/1BN4P/1PP2P2/3R2K1 b k - 1 21,14.0,c5e5
50,4k2r/pp2bpp1/2p1pnb1/P1Q5/R5p1/1BN4P/1PP2P2/3R2K1 b k - 0 22,0.0,e7c5
51,4k2r/pp3pp1/2p1pnb1/P1b5/2R3p1/1BN4P/1PP2P2/3R2K1 b k - 1 23,0.0,h8h5
52,4k2r/p4pp1/1pp1pnb1/P1b5/2R3P1/1BN5/1PP2P2/3R2K1 b k - 0 24,-27.0,e8e7
53,4k3/p4pp1/1Pp1pnb1/2b5/2R3Pr/1BN5/1PP2P2/3R2K1 b - - 0 25,29.0,c5b6
54,4k3/5pp1/1pp1pnb1/2b5/B1R3Pr/2N5/1PP2P2/3R2K1 b - - 1 26,0.0,h4g4
55,4k3/5pp1/1pp1pnb1/2b5/B5R1/2N5/1PP2P2/3R2K1 b - - 0 27,0.0,f6g4
56,4k3/5pp1/1pB1p1b1/2b5/6n1/2N5/1PP2P2/3R2K1 b - - 0 28,0.0,e8e7
57,8/3Rkpp1/1pB1p1b1/2b5/6n1/2N5/1PP2P2/6K1 b - - 2 29,0.0,e7f8
58,8/5pp1/1pB1pkb1/2b5/6n1/2N5/1PPR1P2/6K1 b - - 4 30,12.0,g4f2
59,8/5pp1/1p2pkb1/2b1n3/4B3/2N5/1PPR1P2/6K1 b - - 6 31,-19.0,f6e7
60,8/5pp1/1p2pk2/2b1n2b/N3B3/8/1PPR1P2/6K1 b - - 8 32,-43.0,h5f3
61,8/3R1pp1/1p2pk2/2b4b/N1n1B3/8/1PP2P2/6K1 b - - 10 33,-202.0,c5e7
62,8/3R1pp1/1p2pk2/2b4b/4B3/8/1NP2P2/6K1 b - - 0 34,-450.0,f6e5
63,8/3R1pp1/1pB1p3/2b1k2b/8/8/1NP2P2/6K1 b - - 2 35,-452.0,h5g6
64,8/3R1p2/1pB1p3/2b1k1pb/8/3N4/2P2P2/6K1 b - - 1 36,-458.0,e5f5
65,8/3R1p2/1pB1p3/2N2kpb/8/8/2P2P2/6K1 b - - 0 37,-438.0,b6c5
66,8/2R2p2/2B1p3/2p2kpb/8/8/2P2P2/6K1 b - - 1 38,-461.0,f5e5
67,8/2R2p2/4p3/2p2kp1/8/8/2P1bPB1/6K1 b - - 3 39,-491.0,f5e5
68,8/2R2p2/4p3/5kp1/2p5/8/2P1bP2/5BK1 b - - 1 40,-512.0,e2d1
69,8/2R2p2/4p3/5kp1/2p5/8/2P2P2/5K2 b - - 0 41,-565.0,f7f6
70,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-30.0,c7c5
71,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-23.0,b8c6
72,rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-33.0,g8f6
73,rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,-22.0,g8f6
74,rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,-21.0,a7a6
75,rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq - 1 6,-18.0,e7e5
76,rnbqkb1r/1p3ppp/p2ppn2/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 b kq - 1 7,-29.0,f8e7
77,rnbqk2r/1p2bppp/p2ppn2/8/3NPP2/2N5/PPP1B1PP/R1BQ1RK1 b kq - 0 8,-22.0,e8g8
78,rnbq1rk1/1p2bppp/p2ppn2/8/3NPP2/2N2B2/PPP3PP/R1BQ1RK1 b - - 2 9,-20.0,b8c6
79,rnb2rk1/1pq1bppp/p2ppn2/8/3NPP2/2N2B2/PPP3PP/R1BQ1R1K b - - 4 10,-18.0,b8c6
80,r1b2rk1/1pq1bppp/p1nppn2/8/3NPP2/2N1BB2/PPP3PP/R2Q1R1K b - - 6 11,-6.0,c6d4
81,1rb2rk1/1pq1bppp/p1nppn2/8/P2NPP2/2N1BB2/1PP3PP/R2Q1R1K b - - 0 12,-24.0,c6d4
82,1rbr2k1/1pq1bppp/p1nppn2/8/P3PP2/1NN1BB2/1PP3PP/R2Q1R1K b - - 2 13,-33.0,f6d7
83,1rbr2k1/2q1bppp/ppnppn2/8/P3PP2/1NN1BB2/1PP1Q1PP/R4R1K b - - 1 14,-22.0,c6a5
84,1r1r2k1/1bq1bppp/ppnppn2/8/P3PP2/1NN1BB2/1PP1Q1PP/4RR1K b - - 3 15,-23.0,e7f8
85,1r1r2k1/1bq1bppp/ppn1pn2/3p4/P3PP2/1NN1BB2/1PP2QPP/4RR1K b - - 1 16,-71.0,b7a8
86,br1r2k1/2q1bppp/ppn1pn2/3pP3/P4P2/1NN1BB2/1PP2QPP/4RR1K b - - 0 17,-85.0,f6d7
87,br1r2k1/2q1bppp/ppn1pn2/4P3/P2N1P2/2N1BB2/1PP2QPP/4RR1K b - - 0 18,-206.0,c6d4
88,br1r2k1/2q1bppp/pp2pn2/4P3/P2B1P2/2N2B2/1PP2QPP/4RR1K b - - 0 19,-125.0,f6d5
89,1r1r2k1/2q1bppp/pp2pP2/8/P2B1P2/2N2b2/1PP2QPP/4RR1K b - - 0 20,-428.0,d8d4
90,1r4k1/2q1Pppp/pp2p3/8/P2r1P2/2N2b2/1PP2QPP/4RR1K b - - 0 21,-416.0,d4f4
91,1r4k1/2q1Pppp/pp2p3/8/P4r2/2N2P2/1PP2Q1P/4RR1K b - - 0 22,-417.0,b8e8
92,1r4k1/4qppp/pp2p3/3N4/P4r2/5P2/1PP2Q1P/4RR1K b - - 1 23,-558.0,e7h4
93,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-25.0,e7e5
94,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,-35.0,d7d5
95,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-42.0,g8f6
96,rnbqkb1r/ppp2ppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4,-35.0,d5e4
97,rnbqk2r/ppp1bppp/4pn2/3pP1B1/3P4/2N5/PPP2PPP/R2QKBNR b KQkq - 0 5,-48.0,f6e4
98,rnbqk2r/pppnbppp/4p3/3pP1B1/3P3P/2N5/PPP2PP1/R2QKBNR b KQkq - 0 6,-63.0,e7g5
99,rnbqk2r/1ppnbppp/p3p3/3pP1B1/3P2QP/2N5/PPP2PP1/R3KBNR b KQkq - 1 7,-90.0,e7g5
100,rnbqk2r/1ppnb1pp/p3p3/3pPpBQ/3P3P/2N5/PPP2PP1/R3KBNR b KQkq - 1 8,-167.0,g7g6
101,rnbqk2r/1ppnb2p/p3p1pQ/3pPpB1/3P3P/2N5/PPP2PP1/R3KBNR b KQkq - 1 9,-176.0,e7g5
102,rnbqk2r/1ppn3p/p3p1pQ/3pPpP1/3P4/2N5/PPP2PP1/R3KBNR b KQkq - 0 10,-178.0,d8e7
103,rnbq3r/1ppn1k1p/p3p1pQ/3pPpP1/3P4/2N5/PPP1NPP1/R3KB1R b KQ - 2 11,-185.0,c7c5
104,rnb2q1r/1ppn1k1p/p3p1pQ/3pPpP1/3P1N2/2N5/PPP2PP1/R3KB1R b KQ - 4 12,-134.0,f8h6
105,rnb4r/1ppn1k1p/p3p1pR/3pPpP1/3P1N2/2N5/PPP2PP1/R3KB2 b Q - 0 13,-130.0,d7f8
106,rnb2n1r/1pp2k1p/p3p1pR/3pPpP1/3P1N2/2N5/PPP1BPP1/R3K3 b Q - 2 14,-134.0,b8c6
107,r1b2n1r/1ppn1k1p/p3p1pR/3pPpP1/3P1NP1/2N5/PPP1BP2/R3K3 b Q - 0 15,-215.0,f5g4
108,r1b2n1r/1p1n1k1p/p3p1pR/2ppPPP1/3P1N2/2N5/PPP1BP2/R3K3 b Q - 0 16,-295.0,c5d4
109,r1b2n1r/1p1n1k1p/p3p2R/2ppPpPB/3P1N2/2N5/PPP2P2/R3K3 b Q - 1 17,-545.0,f7g8
110,r1b2n1r/1p1n2kp/p3R3/2ppPpPB/3P1N2/2N5/PPP2P2/R3K3 b Q - 0 18,-602.0,h8g8
111,r1b4r/1p1n2kp/p3N3/2ppPpPB/3P4/2N5/PPP2P2/R3K3 b Q - 0 19,,g7g8
112,r1b3kr/1p1n3p/p3N3/2pNPpPB/3P4/8/PPP2P2/R3K3 b Q - 0 20,,h7h6
113,r1b3kr/1p1nN3/p3N2p/2p1PpPB/3P4/8/PPP2P2/R3K3 b Q - 1 21,,g8h7
114,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-13.0,c7c5
115,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,-34.0,g8f6
116,r1bqkbnr/pppnpppp/3p4/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,-75.0,c7c6
117,r1bqkbnr/pp1npppp/2pp4/8/3PP1P1/2N5/PPP2P1P/R1BQKBNR b KQkq - 0 4,-59.0,h7h6
118,r1b1kbnr/ppqnpppp/2pp4/8/3PP1P1/2N5/PPP2PBP/R1BQK1NR b KQkq - 2 5,-60.0,h7h6
119,r1b1kbnr/ppqn1ppp/2pp4/4p3/3PP1P1/2N5/PPP1NPBP/R1BQK2R b KQkq - 1 6,-55.0,h7h6
120,r1b1kbnr/1pqn1ppp/2pp4/p3p3/3PP1P1/2N1B3/PPP1NPBP/R2QK2R b KQkq - 1 7,-68.0,b7b5
121,r1b1kb1r/1pqnnppp/2pp4/p3p3/3PP1P1/2N1B2P/PPP1NPB1/R2QK2R b KQkq - 0 8,-54.0,b7b5
122,r1b1kb1r/1pqn1ppp/2pp2n1/p3p3/3PP1P1/2N1B2P/PPPQNPB1/R3K2R b KQkq - 2 9,-3.0,g6h4
123,r1b1kb1r/1pqn1ppp/2pp4/p3p3/3PP1Pn/2N1B2P/PPPQNPB1/R3K1R1 b Qkq - 4 10,-25.0,h4g2
124,r1b1kb1r/1pqn1ppp/2pp4/p3p3/3PP1P1/2N1B2P/PPPQNPR1/R3K3 b Qkq - 0 11,-11.0,h7h5
125,r1b1kb1r/2qn1ppp/2pp4/pp2p3/3PP1P1/P1N1B2P/1PPQNPR1/R3K3 b Qkq - 0 12,64.0,d7b6
126,1rb1kb1r/2qn1ppp/2pp4/pp2p3/3PPPP1/P1N1B2P/1PPQN1R1/R3K3 b Qk - 0 13,62.0,b5b4
127,1rb1kb1r/2qn1ppp/2pp4/p3p3/1P1PPPP1/2N1B2P/1PPQN1R1/R3K3 b Qk - 0 14,70.0,e5d4
128,1rb1kb1r/2qn1ppp/2pp4/4p3/1p1PPPP1/4B2P/1PPQN1R1/R2NK3 b Qk - 1 15,71.0,e5d4
129,1rb1kb1r/2qn1ppp/3p4/2p1P3/1p2PPP1/4B2P/1PPQN1R1/R2NK3 b Qk - 0 16,37.0,c8b7
130,1rb1kb1r/2qn1ppp/8/2p1pP2/1p2P1P1/4B2P/1PPQN1R1/R2NK3 b Qk - 0 17,40.0,c8b7
131,1rb1kb1r/2q2ppp/1n6/2p1pP2/1p2P1P1/1P2B2P/2PQN1R1/R2NK3 b Qk - 0 18,33.0,c8b7
132,1r2kb1r/1bq2ppp/1n6/2p1pP2/1p2P1P1/1P2B1NP/2PQ2R1/R2NK3 b Qk - 2 19,24.0,c5c4
133,3rkb1r/1bq2ppp/1n6/2p1pP2/1p2P1P1/1P2B1NP/2P1Q1R1/R2NK3 b Qk - 4 20,25.0,c5c4
134,3rk2r/1bq1bppp/1n6/2p1pPP1/1p2P3/1P2B1NP/2P1Q1R1/R2NK3 b Qk - 0 21,-62.0,g7g6
135,3rk2r/1bq1b1pp/1n3P2/2p1pP2/1p2P3/1P2B1NP/2P1Q1R1/R2NK3 b Qk - 0 22,-211.0,g7f6
136,3rk2r/1bq3pp/1n3b2/1Qp1pP2/1p2P3/1P2B1NP/2P3R1/R2NK3 b Qk - 1 23,-221.0,d8d7
137,3rk2r/Rbqn2pp/5b2/1Qp1pP2/1p2P3/1P2B1NP/2P3R1/3NK3 b k - 3 24,-205.0,d8b8
138,1r2k2r/Rbqn2pp/5b2/1Qp1pP1N/1p2P3/1P2B2P/2P3R1/3NK3 b k - 5 25,-165.0,e8g8
139,1r2k2r/Rb1n2Np/2q2b2/1Qp1pP2/1p2P3/1P2B2P/2P3R1/3NK3 b k - 0 26,-364.0,e8e7
140,1r2k2r/Rb1n2bp/2Q5/2p1pP2/1p2P3/1P2B2P/2P3R1/3NK3 b k - 0 27,-469.0,b7c6
141,1r2k2r/R2n2Rp/2b5/2p1pP2/1p2P3/1P2B2P/2P5/3NK3 b k - 0 28,-474.0,b8b7
142,1r2k2r/R2n2R1/2b4p/2p1pP2/1p2P3/1P2B2P/2P2N2/4K3 b k - 1 29,-518.0,e8d8
143,r3k2r/R2R4/2b4p/2p1pP2/1p2P3/1P2B2P/2P2N2/4K3 b k - 0 30,-758.0,a8a7
144,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-33.0,c7c5
145,rnbqkbnr/pppppp1p/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,-70.0,f8g7
146,rnbqk1nr/ppppppbp/6p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3,-57.0,d7d5
147,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR b KQkq - 1 4,-70.0,b8d7
148,r1bqk1nr/ppp1ppbp/2np2p1/3P4/4P3/2N1B3/PPP2PPP/R2QKBNR b KQkq - 0 5,-85.0,c6b8
149,rnbqk1nr/ppp1ppbp/3p2p1/3P4/4P3/2N1B3/PPPQ1PPP/R3KBNR b KQkq - 2 6,-86.0,c7c6
150,rnbqk1nr/ppp2pbp/3p2p1/3Pp3/4P3/2N1B3/PPPQ1PPP/2KR1BNR b kq - 1 7,-131.0,a7a6
151,rnbqk1nr/1pp2pbp/p2p2p1/3Pp3/4PP2/2N1B3/PPPQ2PP/2KR1BNR b kq - 0 8,-39.0,e5f4
152,r1bqk1nr/1ppn1pbp/p2p2p1/3Pp3/4PP2/2N1BN2/PPPQ2PP/2KR1B1R b kq - 2 9,-42.0,e5f4
153,r1b1k1nr/1ppnqpbp/p2p2p1/3PP3/4P3/2N1BN2/PPPQ2PP/2KR1B1R b kq - 0 10,-94.0,d7e5
154,r1b1k1nr/1pp1qpbp/p2p2p1/3Pn3/4P3/2N1BN1P/PPPQ2P1/2KR1B1R b kq - 0 11,-69.0,g8f6
155,r1b1k2r/1pp1qpbp/p2p1np1/3PN3/4P3/2N1B2P/PPPQ2P1/2KR1B1R b kq - 0 12,-60.0,e7e5
156,r1b1k2r/1pp2pbp/p2p1np1/3Pq3/3BP3/2N4P/PPPQ2P1/2KR1B1R b kq - 1 13,-56.0,e5e7
157,r1b1k2r/1pp1qpbp/p2p1np1/3P4/3BPQ2/2N4P/PPP3P1/2KR1B1R b kq - 3 14,12.0,e8g8
158,r1b2rk1/1pp1qpbp/p2p1np1/3P4/3BPQ2/2N4P/PPP1B1P1/2KR3R b - - 5 15,25.0,b7b5
159,r1b2rk1/2p1qpbp/p2p1np1/1p1P4/3BPQ2/P1N4P/1PP1B1P1/2KR3R b - - 0 16,18.0,f6d7
160,1rb2rk1/2p1qpbp/p2p1np1/1p1P4/3BPQ2/P1N4P/1PP1B1P1/2KR1R2 b - - 2 17,12.0,f6d7
161,1rb2rk1/2pnqpBp/p2p2p1/1p1P4/4PQ2/P1N4P/1PP1B1P1/2KR1R2 b - - 0 18,6.0,g8g7
162,1rb2r2/2pnqpkp/p2p2p1/1p1P4/3RPQ2/P1N4P/1PP1B1P1/2K2R2 b - - 1 19,12.0,d7c5
163,1rb2r2/2p1qpkp/p2p2p1/1p1Pn3/3RPQ1P/P1N5/1PP1B1P1/2K2R2 b - - 0 20,35.0,h7h5
164,1rb2r2/2p1q1kp/p2p2p1/1p1Pnp2/3RP2P/P1N3Q1/1PP1B1P1/2K2R2 b - - 1 21,-20.0,g7g8
165,1r3r2/2pbq1kp/p2p2p1/1p1Pnp1P/3RP3/P1N3Q1/1PP1B1P1/2K2R2 b - - 0 22,16.0,h7h6
166,1r3r2/2pbq1kp/3p2P1/pp1Pnp2/3RP3/P1N3Q1/1PP1B1P1/2K2R2 b - - 0 23,-48.0,f5f4
167,1r3r2/2pbq1k1/3p2p1/pp1PnP2/3R4/P1N3Q1/1PP1B1P1/2K2R2 b - - 0 24,-45.0,b5b4
168,1r6/2pbq1k1/3p2p1/pp1PnR2/3R4/P1N3Q1/1PP1B1P1/2K5 b - - 0 25,-175.0,d7f5
169,1r6/2p1q1k1/3p2p1/pB1Pnb2/3R4/P1N3Q1/1PP3P1/2K5 b - - 0 26,-128.0,b8h8
170,7r/2p1q1k1/3p2p1/p2Pnb2/3R4/P1N3Q1/1PP1B1P1/2K5 b - - 2 27,-121.0,h8h1
171,8/2p1q1k1/3p2p1/p2Pnb2/3R4/P1N3Q1/1PP3P1/2KB3r b - - 4 28,-125.0,e5d7
172,8/2p3k1/3p1qp1/pN1Pnb2/3R4/P5Q1/1PP3P1/2KB3r b - - 6 29,-112.0,e5d7
173,3q4/2p3k1/3p2p1/pN1Pnb2/3R4/P1Q5/1PP3P1/2KB3r b - - 8 30,-155.0,f5d7
174,8/2p3k1/3p2p1/pN1Pnbq1/3R4/P1Q5/1PP3P1/1K1B3r b - - 10 31,-185.0,g7h6
175,8/2Q3k1/3p2p1/pN1Pn1q1/3R2b1/P7/1PP3P1/1K1B3r b - - 0 32,-249.0,g7g8
176,8/2Q5/3p2pk/p2Pn1q1/3R2b1/P1N5/1PP3P1/1K1B3r b - - 2 33,-305.0,g5h5
177,8/2Q5/3p2pk/p2Pn3/4R1b1/P1N1q3/1PP3P1/1K1B3r b - - 4 34,-325.0,e3d2
178,8/8/3Q2pk/p2Pn3/4R1b1/P1N5/1PPq2P1/1K1B3r b - - 0 35,-375.0,g4d1
179,8/8/3Q2pk/p2Pn3/4R1b1/P7/1PPq2P1/1K1N4 b - - 0 36,-478.0,d2d1
180,8/8/3Q2pk/p2Pn3/4R1b1/P7/KPP3P1/3q4 b - - 1 37,-557.0,e5d7
181,8/5n2/6pk/p2P4/4RQb1/P7/KPP3P1/3q4 b - - 3 38,-582.0,h6g7
182,8/5nk1/6p1/p2P4/4R1Q1/P7/KPP3P1/3q4 b - - 0 39,-593.0,d1c2
183,8/5nk1/6p1/p2q4/2P1R1Q1/P7/KP4P1/8 b - - 0 40,-602.0,d5b7
184,8/5nk1/2q1Q1p1/p7/2P1R3/P7/KP4P1/8 b - - 2 41,-621.0,c6c7
185,8/5nk1/4Q1p1/p1q5/2P2R2/P7/KP4P1/8 b - - 4 42,-828.0,f7h6
186,8/2q2nk1/5Qp1/p7/2P2R2/P7/KP4P1/8 b - - 6 43,-925.0,g7g8
187,8/2q2n1k/5Qp1/p7/2P4R/P7/KP4P1/8 b - - 8 44,-884.0,f7h6
188,8/2q4k/6pn/p7/2P2Q1R/P7/KP4P1/8 b - - 10 45,-763.0,c7f4
189,8/6qk/6pn/p5Q1/2P4R/P7/KP4P1/8 b - - 12 46,-1008.0,h7g8
190,8/6qk/6pn/6Q1/p1P4R/P7/1P4P1/K7 b - - 1 47,-7359.0,h7g8
191,5q2/7k/6pn/6Q1/p1P2R2/P7/1P4P1/K7 b - - 3 48,-641.0,f8d6
192,4q3/7k/6pn/6Q1/p1P2R2/P7/KP4P1/8 b - - 5 49,-587.0,h6g8
193,2q5/4Q2k/6pn/8/p1P2R2/P7/KP4P1/8 b - - 7 50,-1158.0,h7g8
194,2q3k1/8/3Q2pn/8/p1P2R2/P7/KP4P1/8 b - - 9 51,-686.0,c8e8
195,2q3k1/5n2/6Q1/8/p1P2R2/P7/KP4P1/8 b - - 0 52,,g8h8
196,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-35.0,e7e5
197,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,-38.0,d7d5
198,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,-38.0,g8f6
199,rnbqkbnr/ppp2ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,-36.0,b8d7
